CONSECUTIVO,ID_ENCUESTA,CE_ACCESSIBILITY,CE_CSAT,CE_VALUEFORMONEY,EM_IMMEDIATEATTENTION,EM_NURSING,EM_DOCTOR,EM_OVERALL,AD_TIME,AD_TARRIFFPACKAGESEXPLAINATION,AD_STAFFATTITUDE,INR_ROOMCLEANLINESS,INR_ROOMPEACE,INR_ROOMEQUIPMENT,INR_ROOMAMBIENCE,FNB_FOODQUALITY,FNB_FOODDELIVERYTIME,FNB_DIETICIAN,FNB_STAFFATTITUDE,AE_ATTENDEECARE,AE_PATIENTSTATUSINFO,AE_ATTENDEEFOOD,DOC_TREATMENTEXPLAINATION,DOC_ATTITUDE,DOC_VISITS,DOC_TREATMENTEFFECTIVENESS,NS_CALLBELLRESPONSE,NS_NURSESATTITUDE,NS_NURSEPROACTIVENESS,NS_NURSEPATIENCE,OVS_OVERALLSTAFFATTITUDE,OVS_OVERALLSTAFFPROMPTNESS,OVS_SECURITYATTITUDE,DP_DISCHARGETIME,DP_DISCHARGEQUERIES,DP_DISCHARGEPROCESS,DIASINTERNADO,SCORENPS,NPS
679,48431,2,2,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,1,2,2,3,2,1,2,2,2,2,3,3,3,5,Detractor
682,51163,2,2,3,3,4,4,3,1,2,2,3,3,3,3,3,2,2,3,4,4,3,4,4,4,4,4,4,3,4,4,3,3,3,3,3,3,5,Detractor
695,17319,3,3,3,3,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,6,Detractor
717,26876,3,3,2,4,4,4,4,4,4,4,1,3,4,2,3,4,2,4,4,4,4,3,4,3,4,3,4,4,4,4,4,4,1,3,1,1,5,Detractor
741,32859,2,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,0,Detractor
752,12408,4,3,3,2,3,2,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,6,Detractor
763,96392,3,3,3,4,4,4,4,4,3,4,3,4,3,3,3,3,3,3,3,3,3,4,4,3,4,4,4,4,4,4,4,4,3,3,3,2,5,Detractor
775,19209,3,3,3,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,4,3,4,4,4,4,4,4,4,4,4,4,4,3,3,3,7,6,Detractor
778,32090,4,3,3,4,4,4,4,3,2,3,4,3,4,3,3,3,3,3,3,3,3,3,3,3,2,3,4,3,4,4,3,2,3,3,3,5,6,Detractor
779,32094,2,2,2,3,3,3,3,3,3,3,3,3,2,2,1,1,1,2,2,1,1,3,4,2,2,3,3,2,2,3,1,2,2,3,3,4,5,Detractor
