CONSECUTIVO,ID_ENCUESTA,CE_ACCESSIBILITY,CE_CSAT,CE_VALUEFORMONEY,EM_IMMEDIATEATTENTION,EM_NURSING,EM_DOCTOR,EM_OVERALL,AD_TIME,AD_TARRIFFPACKAGESEXPLAINATION,AD_STAFFATTITUDE,INR_ROOMCLEANLINESS,INR_ROOMPEACE,INR_ROOMEQUIPMENT,INR_ROOMAMBIENCE,FNB_FOODQUALITY,FNB_FOODDELIVERYTIME,FNB_DIETICIAN,FNB_STAFFATTITUDE,AE_ATTENDEECARE,AE_PATIENTSTATUSINFO,AE_ATTENDEEFOOD,DOC_TREATMENTEXPLAINATION,DOC_ATTITUDE,DOC_VISITS,DOC_TREATMENTEFFECTIVENESS,NS_CALLBELLRESPONSE,NS_NURSESATTITUDE,NS_NURSEPROACTIVENESS,NS_NURSEPATIENCE,OVS_OVERALLSTAFFATTITUDE,OVS_OVERALLSTAFFPROMPTNESS,OVS_SECURITYATTITUDE,DP_DISCHARGETIME,DP_DISCHARGEQUERIES,DP_DISCHARGEPROCESS,DIASINTERNADO,SCORENPS,NPS
1759,26265,3,3,3,4,4,4,4,3,3,4,4,4,4,4,3,3,3,3,4,3,3,4,4,3,4,4,4,4,4,4,4,4,3,3,3,2,6,Detractor
1773,14065,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,4,4,4,4,4,4,4,4,4,4,4,2,3,3,6,6,Detractor
1775,14060,4,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,1,4,4,4,4,4,4,4,4,3,4,4,3,5,Detractor
1802,77800,3,3,2,4,4,3,4,3,2,3,3,3,3,3,3,4,4,3,1,3,3,4,3,4,4,4,4,3,3,3,3,3,2,3,2,1,5,Detractor
1808,7562,4,3,4,4,4,4,4,3,3,3,3,3,3,3,1,3,3,3,3,3,2,4,4,4,4,4,4,4,4,4,4,4,3,3,3,1,6,Detractor
1811,88184,4,3,4,4,4,4,4,4,3,4,3,3,3,3,3,3,3,4,4,3,3,4,4,4,4,4,4,4,4,4,4,4,3,3,3,7,6,Detractor
1812,88182,2,2,3,3,4,4,3,2,3,3,3,3,3,4,3,3,3,4,3,4,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,9,6,Detractor
1818,88671,3,2,3,4,4,4,4,4,3,4,4,4,4,3,3,3,1,2,3,3,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,3,Detractor
1824,20410,4,3,3,4,4,4,4,3,4,3,4,3,4,3,3,3,3,3,4,4,3,4,4,4,4,4,4,4,4,2,2,2,3,3,3,3,5,Detractor
1825,38974,4,3,2,4,4,4,3,3,3,3,2,3,2,1,1,2,2,3,2,2,1,3,4,3,3,4,4,3,3,3,3,3,2,3,3,3,4,Detractor
1832,88792,3,2,3,3,3,4,3,3,3,3,2,3,2,3,2,2,2,2,2,2,2,3,4,3,3,3,3,3,3,3,3,3,3,3,3,7,5,Detractor
1840,17791,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,6,Detractor
1844,83884,3,2,3,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,3,4,3,3,3,3,5,Detractor
1847,46237,4,4,3,4,4,4,4,4,4,4,3,3,3,4,2,3,3,3,3,3,3,3,3,3,3,4,4,3,4,4,4,3,3,4,4,5,6,Detractor
1856,12313,2,2,2,4,4,4,4,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,1,6,Detractor
1870,44836,3,4,2,4,4,4,4,3,3,4,3,3,3,3,3,3,3,3,3,3,3,4,4,3,4,4,4,4,4,4,3,4,3,3,3,3,4,Detractor
1876,47803,3,1,1,4,4,4,4,3,3,4,1,1,3,2,2,1,1,3,1,3,1,4,4,4,4,4,4,4,4,4,4,4,2,1,1,2,2,Detractor
1903,11499,3,3,3,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,3,4,3,3,3,1,4,Detractor
1905,23350,4,3,3,4,4,4,4,3,3,4,4,4,4,4,3,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,3,4,3,2,6,Detractor
1913,19790,2,1,3,3,4,4,4,2,2,3,1,2,4,2,2,1,3,3,4,4,3,4,4,4,4,3,4,4,4,3,1,1,3,3,3,1,0,Detractor
1921,7802,3,2,2,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,3,3,4,4,3,3,3,3,3,3,3,3,3,5,Detractor
1933,26245,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,2,Detractor
1940,80997,4,3,2,4,4,4,4,3,3,3,4,3,4,3,3,3,3,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,6,Detractor
1950,28138,1,1,1,2,1,1,1,3,3,3,3,3,3,3,2,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,3,Detractor
1968,85815,2,1,3,4,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,3,3,4,3,3,3,3,4,3,3,3,2,4,Detractor
1984,8277,3,2,3,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,1,2,2,5,6,Detractor
1988,72301,4,3,2,4,4,4,3,3,3,3,2,2,3,2,1,2,1,3,3,3,1,4,4,4,4,3,3,3,3,3,3,3,2,2,2,4,6,Detractor
1992,8411,4,4,4,4,4,4,4,4,4,4,3,3,3,3,2,2,2,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,Detractor
2015,89309,2,2,2,3,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,4,4,3,3,3,3,3,3,3,3,3,3,Detractor
2019,19655,3,3,3,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,2,1,8,4,Detractor
2023,56756,3,3,3,4,4,4,4,3,3,4,4,4,4,4,3,3,3,3,4,3,3,4,4,3,4,4,4,4,4,4,4,4,3,3,3,2,6,Detractor
2027,75686,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,3,3,3,3,3,3,4,5,Detractor
2043,10027,3,2,2,3,3,2,3,3,2,2,2,1,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,5,Detractor
2054,84716,4,2,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,5,Detractor
2061,5354,3,3,3,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,3,4,4,4,4,4,4,4,4,3,3,3,5,5,Detractor
2062,97357,2,2,1,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,2,0,Detractor
2097,96486,4,2,1,3,3,4,3,4,2,3,2,3,3,3,2,1,3,1,1,2,3,3,3,3,3,1,2,3,2,1,2,3,1,1,2,4,1,Detractor
2105,19519,4,3,4,4,4,4,4,4,3,3,4,4,4,3,2,3,4,3,3,4,4,4,4,4,4,4,3,3,4,3,4,4,4,4,4,6,6,Detractor
2112,69660,2,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,8,4,Detractor
2122,4949,4,3,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,4,4,3,4,4,4,4,4,4,4,4,4,4,4,3,3,3,4,6,Detractor
2128,52625,3,3,2,3,3,3,3,3,3,3,2,1,3,2,1,2,2,3,2,3,1,2,3,2,3,1,3,2,3,2,3,2,3,3,3,6,5,Detractor
2130,52629,3,2,2,3,3,2,2,3,3,3,2,1,1,2,3,3,3,3,3,3,3,3,3,3,2,1,3,2,3,3,1,3,2,2,2,6,6,Detractor
2165,37119,4,3,2,4,4,4,4,3,3,3,4,3,4,3,3,3,3,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,6,Detractor
2166,79448,3,3,4,3,3,2,3,2,3,2,2,2,1,2,2,3,3,3,2,1,2,1,1,1,2,1,2,2,2,2,2,3,3,3,3,2,5,Detractor
2177,61129,3,3,3,4,4,4,4,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,3,3,3,3,5,Detractor
2180,5689,3,3,3,4,4,4,4,3,3,3,3,2,3,2,3,3,4,3,3,3,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,5,4,Detractor
2182,72261,3,3,3,4,4,4,4,3,3,3,4,4,3,3,3,3,3,3,4,3,3,4,4,3,4,4,4,4,4,4,4,4,3,3,3,2,6,Detractor
2199,56773,3,3,3,4,4,4,4,4,3,3,3,1,2,3,3,4,1,3,2,2,3,2,2,1,3,3,4,4,4,3,2,4,3,3,3,3,6,Detractor
2204,82257,3,3,3,4,4,4,4,3,2,3,3,3,3,3,3,3,3,3,3,4,3,4,4,4,4,4,4,4,4,4,4,4,3,3,2,2,6,Detractor
2208,45146,2,2,2,3,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,3,3,3,3,3,3,3,3,2,3,Detractor
2211,36093,4,4,4,4,4,3,4,3,3,3,4,4,2,3,3,4,4,4,4,4,4,4,3,3,3,4,4,4,4,4,4,4,3,4,4,2,2,Detractor
2212,74358,3,3,3,4,4,4,4,4,3,4,3,3,3,3,3,3,3,3,3,3,3,4,3,3,4,4,4,4,4,4,4,4,3,3,3,3,5,Detractor
2218,9593,4,4,3,4,4,4,4,4,4,4,4,4,4,4,2,3,3,4,3,4,2,4,4,4,4,4,4,4,4,4,4,4,3,4,4,1,6,Detractor
2232,40713,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,3,4,3,4,3,5,6,Detractor
2236,68236,2,2,1,1,3,2,1,3,3,3,2,2,3,2,3,3,3,3,3,1,2,1,1,1,2,3,3,2,2,3,1,2,2,2,2,4,1,Detractor
2247,67601,4,4,3,4,4,4,4,4,3,4,4,4,4,4,3,3,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,5,Detractor
2264,15325,3,3,2,4,4,4,4,4,2,3,4,4,3,3,3,4,3,3,3,3,2,4,4,4,4,4,3,3,4,4,4,3,4,4,4,0,6,Detractor
2265,32391,3,3,3,3,3,3,2,3,3,3,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,2,2,3,2,3,2,3,1,1,1,6,6,Detractor
2268,9306,4,4,4,4,4,4,4,2,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,3,3,3,3,3,3,3,4,4,4,10,5,Detractor
2355,63644,3,3,2,2,2,3,1,1,1,1,2,3,2,3,3,1,2,1,1,2,2,2,2,2,1,2,2,3,3,3,3,3,2,3,3,4,4,Detractor
2364,79466,2,2,2,4,4,3,3,3,3,3,3,3,3,2,1,2,3,3,1,2,1,3,3,2,3,4,4,3,3,3,3,2,1,1,1,4,4,Detractor
2366,91240,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,4,3,3,3,4,3,3,3,4,4,4,4,4,3,3,2,2,2,4,3,Detractor
2368,91249,3,3,3,2,3,2,3,2,1,2,3,3,4,3,3,3,3,4,3,3,3,2,2,2,3,4,4,4,4,4,4,3,3,3,3,3,5,Detractor
2381,25011,2,2,2,4,4,4,3,3,3,3,3,4,1,3,1,3,1,3,3,3,1,1,2,2,4,1,3,3,3,3,3,4,2,1,1,2,6,Detractor
2385,82275,3,3,3,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,60,6,Detractor
2413,21577,3,3,3,3,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,3,3,3,2,6,Detractor
2418,20995,3,3,3,4,4,4,4,3,3,4,3,2,3,3,2,3,3,3,4,4,3,4,4,4,4,4,4,3,3,4,3,4,3,3,3,1,2,Detractor
2446,15253,2,2,2,4,4,4,3,3,1,3,3,3,3,3,3,3,3,3,3,3,3,2,2,3,1,3,3,3,3,3,3,3,1,1,1,2,2,Detractor
2447,15257,3,3,3,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,3,4,3,3,3,2,5,Detractor
2451,92216,2,1,1,3,3,3,3,3,3,3,3,4,1,2,3,4,3,4,2,2,1,3,3,3,3,4,4,4,4,4,4,4,1,2,1,1,5,Detractor
2462,19553,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,3,2,3,3,3,3,4,3,3,3,3,3,3,3,3,3,2,3,3,2,4,Detractor
2469,43411,3,3,3,3,3,2,2,3,3,3,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,3,3,3,3,3,3,5,6,Detractor
2471,97795,3,3,2,4,3,4,3,2,2,2,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,4,3,3,3,3,3,3,2,3,2,3,5,Detractor
2472,14253,4,4,4,4,4,4,4,3,3,3,3,3,3,3,1,3,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,5,Detractor
2474,14252,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,6,Detractor
2483,13565,2,3,2,3,3,4,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,2,2,2,2,2,2,3,3,3,0,5,Detractor
2486,11709,3,3,2,4,4,4,4,4,3,4,4,3,3,3,2,3,3,3,3,3,3,2,3,3,2,3,4,3,4,3,3,3,3,3,3,9,6,Detractor
2504,54446,3,3,2,3,3,3,3,2,3,3,2,3,2,1,2,2,3,3,3,3,3,3,4,4,3,3,4,3,3,3,3,3,1,2,1,6,6,Detractor
2515,6495,3,1,1,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,2,3,3,3,3,3,4,3,3,3,3,3,2,3,2,5,1,Detractor
2522,37155,3,3,2,4,4,4,4,1,2,2,1,1,2,2,1,2,3,3,3,3,1,4,4,4,4,4,4,4,4,4,4,3,3,3,3,5,5,Detractor
2539,79482,3,3,2,3,3,3,3,2,2,2,3,1,2,2,3,2,3,3,2,3,3,4,4,3,3,3,3,3,3,3,3,3,1,2,1,4,5,Detractor
2540,35224,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,2,5,Detractor
2548,76856,3,3,3,4,4,4,4,4,4,4,3,4,3,3,3,2,3,3,3,3,3,4,4,4,4,3,4,3,4,4,3,4,4,4,4,3,6,Detractor
2550,57289,3,3,2,4,4,4,4,4,3,4,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,3,4,3,3,3,7,4,Detractor
2570,85623,3,2,1,2,1,1,1,1,1,1,3,3,3,3,3,2,1,3,3,1,1,1,1,1,2,4,4,4,3,3,2,3,3,3,3,3,2,Detractor
2580,37818,3,3,4,4,4,4,4,4,3,4,4,4,4,3,3,3,3,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,3,3,3,7,5,Detractor
2583,62071,3,3,3,4,4,4,4,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,4,4,3,3,3,3,3,3,3,3,3,3,3,2,6,Detractor
2587,86936,3,2,2,4,3,2,2,4,3,3,2,3,2,2,2,3,3,2,2,2,2,2,3,2,2,3,4,3,2,1,2,2,1,2,2,11,5,Detractor
2594,15078,4,3,3,4,3,4,3,2,1,2,2,3,2,2,2,1,2,2,3,3,2,4,4,3,3,4,4,4,3,3,3,3,1,1,1,1,5,Detractor
2595,96960,3,3,3,3,3,4,3,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,4,3,3,4,4,3,3,4,3,3,2,2,2,2,6,Detractor
2604,87562,4,4,3,4,4,4,4,4,4,4,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,6,Detractor
2624,4737,3,3,3,2,3,3,3,4,4,4,3,3,3,3,3,3,2,2,4,4,4,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,5,Detractor
2643,49163,3,3,3,4,4,4,4,1,3,4,4,3,4,4,3,3,3,3,4,4,3,4,4,4,4,4,4,4,4,4,4,4,3,3,3,2,6,Detractor
2646,46311,4,3,3,1,2,3,2,2,1,2,2,3,3,3,2,2,2,3,2,2,2,3,3,3,3,3,2,2,3,2,2,2,2,2,2,2,5,Detractor
2651,70180,3,2,2,3,3,4,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,4,3,3,4,4,3,3,3,3,3,3,3,3,1,1,Detractor
2671,59921,3,4,3,4,4,4,4,3,3,4,4,3,3,3,3,3,4,4,3,4,3,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,Detractor
2682,83121,3,3,2,4,4,4,3,3,3,3,3,2,3,3,2,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,6,Detractor
2684,24520,4,3,3,3,4,4,4,3,3,3,3,3,2,3,3,3,3,3,3,3,2,4,4,4,4,4,4,4,4,4,4,4,3,3,3,5,6,Detractor
2685,24528,2,2,2,2,3,3,2,3,2,3,4,3,3,3,3,4,3,3,3,2,2,3,3,2,3,2,3,2,2,3,3,3,3,3,3,3,4,Detractor
2686,11163,4,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,2,4,3,4,4,3,6,Detractor
2692,5624,4,3,3,3,4,4,3,3,3,3,3,3,3,2,2,3,3,3,3,3,2,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,1,Detractor
2714,12004,4,4,4,4,3,3,4,3,4,4,3,2,4,3,1,2,3,2,3,3,1,3,4,4,3,4,3,3,3,3,3,3,3,3,3,1,5,Detractor
2721,42802,3,2,3,3,3,4,3,2,2,2,2,2,2,2,2,2,3,3,3,3,2,3,4,3,3,3,3,3,3,3,3,3,1,2,1,6,6,Detractor
2742,68188,4,3,2,4,4,4,4,1,1,1,3,3,3,3,4,3,3,3,4,4,4,4,4,4,4,3,3,3,3,3,4,3,3,3,3,2,6,Detractor
2772,82145,4,4,4,4,4,4,4,1,2,1,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,6,Detractor
2782,77036,2,3,2,4,4,4,4,3,3,4,3,3,3,3,3,3,3,3,3,3,3,4,4,3,4,4,4,4,4,4,3,4,3,3,3,2,6,Detractor
2788,19775,3,3,2,4,3,3,4,4,4,4,3,3,3,3,3,4,4,4,3,4,3,4,4,4,3,4,4,4,4,4,4,4,3,4,4,0,6,Detractor
2789,93129,4,3,3,4,4,4,4,3,3,4,4,3,4,4,3,3,3,4,4,4,3,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,5,Detractor
2804,93642,3,3,2,4,4,4,4,3,3,4,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,3,0,4,Detractor
2808,42322,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,3,3,3,3,3,3,3,3,4,4,4,3,5,Detractor
2842,40233,3,3,2,4,4,4,4,3,3,3,3,3,3,3,2,3,3,3,3,3,3,4,4,3,4,4,4,4,4,4,3,4,3,3,3,3,0,Detractor
2849,11109,4,4,3,3,4,4,4,4,3,4,4,4,4,3,3,3,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,3,4,6,Detractor
2850,11102,3,2,3,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,3,3,3,4,5,Detractor
2867,97223,2,2,2,3,3,4,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,Detractor
2868,88946,3,2,2,3,3,3,3,3,3,3,2,3,2,2,3,3,2,3,1,1,3,3,3,1,2,1,2,2,1,3,2,3,2,3,3,16,6,Detractor
2873,23709,3,3,3,4,4,4,4,3,3,4,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,3,3,3,2,5,Detractor
2889,39026,4,3,3,4,4,4,4,3,3,4,4,3,4,4,3,3,3,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,3,3,3,2,5,Detractor
2896,88051,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,6,Detractor
2903,87014,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,2,3,3,2,3,3,3,3,3,3,3,3,1,2,1,12,6,Detractor
2915,18777,3,3,3,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,6,Detractor
2922,29752,3,3,3,4,4,4,3,3,3,3,3,3,3,2,3,1,3,2,3,3,2,4,3,2,3,3,3,2,2,2,2,3,3,3,3,4,6,Detractor
2935,89957,4,3,3,4,4,4,4,3,4,4,4,4,4,4,1,3,3,4,4,4,2,3,3,3,3,3,4,4,3,4,4,3,3,4,4,6,6,Detractor
2938,8512,3,3,3,3,4,3,3,2,3,3,3,2,3,4,3,3,3,3,3,3,3,2,2,1,2,3,2,2,2,2,2,2,2,3,2,1,6,Detractor
2940,69862,4,3,3,3,3,3,3,3,3,4,4,3,4,3,3,3,3,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,6,Detractor
2954,66222,3,3,2,3,2,3,3,3,2,2,3,1,3,2,3,2,2,3,3,3,1,3,3,2,3,2,3,2,3,3,2,3,3,3,3,3,5,Detractor
2968,31957,2,2,2,3,3,3,3,2,2,2,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,6,Detractor
2971,55301,2,3,3,4,4,4,4,2,4,3,4,4,4,4,3,4,2,4,4,4,3,4,4,4,4,3,2,3,3,2,1,4,1,3,2,6,5,Detractor
2977,17342,3,3,2,3,4,3,3,3,2,3,3,3,2,3,2,2,3,2,2,2,3,2,3,1,2,2,2,2,3,3,3,3,1,3,3,9,6,Detractor
2982,55432,1,3,1,4,4,4,4,2,1,4,3,3,3,3,2,1,3,4,3,1,3,2,1,3,1,4,4,4,4,4,4,4,2,2,1,7,0,Detractor
2989,16698,2,2,2,2,1,3,1,2,1,1,1,2,2,2,1,2,2,1,1,2,1,3,3,3,2,1,1,2,2,1,2,2,2,2,2,1,3,Detractor
2997,54055,4,4,3,4,4,4,4,4,4,4,4,4,4,4,3,4,3,3,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,5,Detractor
3018,24566,2,3,4,4,2,4,4,4,4,4,1,4,4,3,4,4,4,3,3,2,2,4,4,4,4,2,2,4,3,4,4,4,4,4,4,5,6,Detractor
3019,94901,2,3,2,4,3,4,4,4,1,3,3,3,3,2,4,3,3,2,3,2,4,3,3,3,3,3,3,3,3,3,3,3,2,2,2,4,5,Detractor
3027,31012,3,2,2,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,3,3,4,4,3,3,4,3,3,1,1,1,5,5,Detractor
3045,74040,2,2,2,2,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,4,4,3,3,3,3,3,1,2,2,3,6,Detractor
3051,35245,4,3,3,4,3,3,3,2,2,2,3,1,2,3,3,1,2,2,3,3,3,3,3,3,3,2,2,2,2,3,3,3,3,3,3,3,5,Detractor
3086,86143,4,3,3,4,4,4,4,4,4,4,3,3,3,3,2,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,6,Detractor
3101,71789,2,3,3,2,3,4,3,2,2,3,1,1,3,1,2,3,3,3,2,3,3,4,4,4,4,2,4,3,3,3,3,3,2,3,2,3,5,Detractor
3113,22605,3,3,3,4,4,4,4,4,3,4,3,3,3,3,3,3,3,3,3,3,3,4,4,3,4,4,4,4,4,4,4,4,3,3,3,3,5,Detractor
3114,57381,2,3,2,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,3,4,4,4,4,4,4,3,4,3,3,3,6,5,Detractor
3116,28603,3,2,2,3,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,3,3,4,4,3,3,3,3,4,2,3,3,4,6,Detractor
3120,43363,4,4,2,4,4,4,4,3,3,3,4,4,4,4,3,4,4,4,4,4,3,4,4,4,4,3,3,4,4,3,3,4,4,4,4,2,4,Detractor
3132,90849,3,2,2,4,4,4,3,3,3,3,2,2,3,2,1,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,2,3,2,2,2,2,6,Detractor
3151,21184,3,2,1,3,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,3,4,4,4,3,3,4,3,4,3,3,3,1,5,Detractor
3156,9720,4,3,2,1,1,1,1,3,3,3,3,3,3,3,2,3,3,3,3,3,2,3,3,3,3,3,4,3,4,3,3,3,3,3,3,6,5,Detractor
3174,97334,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,4,1,Detractor
3185,83185,2,1,1,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3,0,Detractor
3195,12414,2,4,3,4,4,4,4,4,3,4,4,4,4,3,3,4,4,4,3,3,3,4,4,4,4,4,4,4,4,4,4,4,3,3,3,5,5,Detractor
3196,12417,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,3,3,3,3,3,3,3,3,0,1,Detractor
3207,72545,3,1,1,4,2,4,3,3,1,4,1,1,1,1,1,3,3,2,2,3,3,3,4,4,4,2,3,2,4,4,2,3,2,3,2,5,4,Detractor
3210,73495,4,3,3,4,4,4,4,4,4,4,2,3,3,3,3,1,2,4,4,4,3,3,4,4,4,4,4,4,4,4,4,3,3,4,4,2,5,Detractor
3211,39065,4,4,4,3,3,3,3,2,1,3,3,3,3,2,3,4,3,4,4,4,2,3,3,3,3,4,4,4,4,4,3,3,2,1,2,2,4,Detractor
3226,97522,4,4,3,3,4,3,3,3,2,3,3,4,4,4,2,4,2,4,4,4,3,3,3,4,3,4,4,4,4,4,4,3,4,4,4,8,6,Detractor
3229,46547,3,3,2,4,4,4,4,4,2,4,3,2,3,2,1,1,3,3,3,3,2,4,4,3,4,3,3,3,3,3,3,3,1,2,2,2,5,Detractor
3230,97528,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,3,3,4,2,2,Detractor
3265,37672,4,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,3,3,3,1,6,Detractor
3284,73799,4,2,2,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,3,3,4,4,3,4,4,3,3,2,2,2,3,6,Detractor
3285,13936,4,3,3,4,4,4,4,3,1,4,4,4,4,4,3,3,4,4,4,3,3,3,4,4,4,3,3,3,3,4,3,3,4,3,4,3,4,Detractor
